Designator,Mid X,Mid Y,Rotation,Layer
C201,123.064,-112.25,0.0,top
C202,129.142,-115.75,-90.0,top
C203,126.616,-115.75,-90.0,top
C204,119.0,-113.836,-90.0,top
C205,116.46,-113.836,-90.0,top
C301,156.75,-117.225,90.0,top
C302,152.75,-118.225,0.0,top
C303,152.75,-116.225,0.0,top
C304,136.75,-118.225,180.0,top
C305,150.0,-109.775,90.0,top
C306,156.75,-112.225,90.0,top
C307,137.75,-115.225,90.0,top
C308,215.75,-121.25,180.0,top
C401,161.75,-120.75,0.0,top
C402,161.75,-118.25,0.0,top
C501,224.0,-110.5,-90.0,top
D201,109.25,-113.5,-90.0,top
D301,161.75,-110.5,0.0,top
D601,204.25,-107.5,-90.0,top
F201,124.0,-124.75,0.0,top
FB201,130.46,-110.25,180.0,top
J201,106.35,-116.35,-90.0,top
J301,154.775,-124.5,-90.0,top
J302,220.305,-123.745,180.0,top
J303,230.46,-114.67,0.0,top
J501,219.735,-109.45,180.0,top
J601,198.735,-109.45,180.0,top
JP201,118.975,-129.25,90.0,top
L201,121.54,-108.248,180.0,top
L301,135.25,-115.225,-90.0,top
Q201,130.46,-124.75,180.0,top
Q501,215.735,-116.0,90.0,top
Q601,198.75,-116.0875,90.0,top
R201,123.892,-119.5,90.0,top
R202,120.524,-120.44,0.0,top
R203,120.524,-117.9,180.0,top
R204,109.25,-118.0,90.0,top
R301,136.75,-122.25,0.0,top
R302,161.75,-107.75,0.0,top
R401,161.75,-123.25,0.0,top
R402,161.75,-115.75,0.0,top
R403,161.75,-125.75,0.0,top
R404,161.75,-113.25,0.0,top
R501,210.75,-120.25,0.0,top
R502,215.75,-119.055,0.0,top
R503,227.0,-110.5,90.0,top
R504,210.735,-115.0,0.0,top
R505,210.75,-117.0,180.0,top
R601,200.0,-120.5875,90.0,top
R602,197.75,-120.5875,90.0,top
SW201,112.0,-106.5,180.0,top
SW301,138.25,-127.25,180.0,top
SW401,165.76,-119.698332,0.0,top
SW402,170.0,-108.951666,0.0,top
U201,122.81,-114.75,0.0,top
U301,144.75,-117.725,180.0,top
Y301,153.25,-111.725,90.0,top
